ResourceID,External Cross Reference Notes,Storage Area Name,Journal or Series Volume Description,Title Type,Quantity,Contributor,Publisher Name,Creator,Road or Street Name,Archive Description Type,Repository Name,Subjects,Archive End Date,Journal or Series Name,Resource ID,Copyright Description,Archive Description text,Extent Measurement Unit,Amender,Archive Start Date,Number in Road or Street,Archive Source Format,Source Title,Archive Source Type,Publication Location Name,Periods,External Cross Reference Number,Language,Postal Code,Language,External Cross Reference Source,Copyright Type,Journal or Series Pages,Date of Publication,File,Statement of Responsibility
3e083e3d-13e6-40df-8542-5a8713ae72cf,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,Municipal Corporations Act Plan. Four inches to the mile,Map,,,1939,,,,Lincoln Heritage Database Sources,,,1835,,"Dawson, R. K."
3e839899-bb80-4ead-a38e-8a2c538455af,,,,,,,,,,,,,,,,,,,,,,,Newport Arch from the south,Painting,,,2553,,,,Lincoln Heritage Database Sources,,,1770,,"Drake, N."
3fc39412-27e3-430a-8e75-c1115f455252,,,,,,,,,,,,,,,,,,,,,,,Plan of the City of Lincoln,Map,,,1236,,,,Lincoln Heritage Database Sources,,,1883,,"Padley, J. S."
41200793-be42-4fa8-bf0e-ed45b512debc,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,Robert Grosseteste Bishop of Lincoln (1235-53),Leaflet,,,1871,,,,Lincoln Heritage Database Sources,,,1966,,"Srawley, Rev. Canon J. H."
41a80e76-514c-4ee1-a6af-20a980902c70,,,,,,,Dewhirst and Nichols,,,,,,,,,,,,,,,,Map of the City and Borough of Lincoln,Map,,,1844,,,,Lincoln Heritage Database Sources,,,1839,,Dewhirst and Nichols
420a1a14-5c19-4318-8d6e-e8fa0c1c7127,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,"The Book of John de Schalby, Canon of Lincoln 1299-1333, concerning the Bishops of Lincoln and their acts",Leaflet,,,1867,,,,Lincoln Heritage Database Sources,,,1966,,"Srawley, Rev. Canon J. H."
428e6999-790b-41f3-a451-d212c8446d2b,,,,,,,,,,,,,,,,,,,,,,,St Faiths School 1873-1973,Manuscript,,,1662,,,,Lincoln Heritage Database Sources,,,1973,,"Gowenlock, D."
43692d14-38aa-4206-bf66-e742795ccd61,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln Castle, gateway",Drawing,,,2644,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
446ce2b3-fe9a-4cf0-86a5-225ec689b02b,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln, houses of the Chancellor",Drawing,,,2651,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
481ba092-8ac5-4a4e-82d9-33bfea53e028,,,,,,,City Museum & Art Gallery,,,,,,,,,,,,,,,,"Greyfriars, Lincoln. An Illustrated Guide to the Building",Leaflet,,,2962,,,,Lincoln Heritage Database Sources,,,,,City and County Museum
48ec9453-a1e4-4038-907c-67fbc71e5e1f,,,,,,,,,,,,,,,,,,,,,,,Lincoln Racecourse,Newspaper Article,,,2204,,,,Lincoln Heritage Database Sources,,,2004,,
4b1914a2-9899-4c1f-9276-8f052ec35f1e,,,,,,,,,,,,,1786,,,,,,,1784,,,Medieval building in unknown location,Drawing,,,1510,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
4ba7329f-8dae-4249-8598-2e2304af70ef,,,,,,,,,,,,,,,,,,,,,,,Lincolnshire Echo 1937,Newspaper Article,,,1187,,,,Lincoln Heritage Database Sources,,,1937,,
4cd58d35-e01e-4d17-82f9-c7b762043f05,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, Cathedral and Castle from the north-west",Drawing,,,1496,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
4d1e8035-91f8-4403-8377-c080b861ee89,,,,,,,,,,,,,,,,,,,,,,,Map of Lincoln,Map,,,1155,,,,Lincoln Heritage Database Sources,,,1817,,"Marrat, William"
4e711ccb-7c5d-4330-9709-af7cca6ba467,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,"Edward King, Bishop of Lincoln (1885-1910)",Leaflet,,,1875,,,,Lincoln Heritage Database Sources,,,,,"Chadwick, O."
4f9a5102-d213-420e-8dc6-63abdd4e31ba,,,,,,,Lincoln City and County Museum,,,,,,,,,,,,,,,,Museum records,Catalogue,,,1658,,,,Lincoln Heritage Database Sources,,,,,Lincoln City and County Museum
515e9890-2ed1-4969-9666-c1e747e13b3e,,,,,,,Lincolnshire Publishing Company,,,,,,2012,,,,,,,1893,,,Lincolnshire Echo 1893-2012,Newspaper Article,,,1141,,,,Lincoln Heritage Database Sources,,,,,
51af4dc5-fdd5-407a-897d-1e542cf8c61c,,,,,,,Lincoln Central Library,,,,,,,,,,,,,,,,Banks Collection,Collection,,,1739,,,,Lincoln Heritage Database Sources,,,1840,,Joseph Banks
5225f490-8288-424b-aaa1-e91f96e87e84,,,,,,,,,,,,,1788,,,,,,,1784,,,"Roman wall, East Bight",Drawing,,,1514,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
5230c182-8396-48ab-8b46-ff571dc6137e,,,,,,,City of Lincoln Archaeology Unit,,,,,,,,,,,,,,,,Observation Notes: card archive on observation notes (Ons) maintained by CLAU,Card Index,,,1473,,,,Lincoln Heritage Database Sources,,,,,
52820538-23a7-4863-b729-ec80ec4eced9,,,,,,,Lincolnshire County Council,,,,,,,,,,,,,,,,Antiquities from the Witham: Anglo-Saxon and Viking,Leaflet,,,511,,,,Lincoln Heritage Database Sources,,,1979,,"White, A. J."
53908238-c16a-4057-9891-6cf1213eb628,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,1 inch map of Lincolnshire,Map,,,1729,,,,Lincoln Heritage Database Sources,,,1824,,Ordnance Survey
53be4f09-5c41-412d-b021-aeb577cde4dc,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln Cathedral, east front",Drawing,,,2672,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
559a6a1c-d7ec-4f81-8506-2948b2aff7ba,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,1:2500 map of Lincoln,Map,,,1847,,,,Lincoln Heritage Database Sources,,,1948,,Ordnance Survey
565de6c5-d795-4d9d-aa6a-61ad45d4c8bf,,,,,,,,,,,,,,,,,,,,,,,"Plans of Roman Remains discovered in the Bail, Lincoln, June 1884",Map,,,2908,,,,Lincoln Heritage Database Sources,,,1884,,"Hibbitts, L."
56e470ef-1ace-4133-8668-5bd86e8a5553,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,Lincoln Cathedral Library,Leaflet,,,1876,,,,Lincoln Heritage Database Sources,,,,,"Griffiths, Rev. D. N."
5b0f7e89-23dd-4ae9-82bf-c4fb7b926ec5,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,Digital map of Lincoln,Map,,,2043,,,,Lincoln Heritage Database Sources,,,2004,,Ordnance Survey
5dba461b-4609-4101-9dc4-24df71e2e7ee,"<p>Available for consultation from the HER - please contact the Heritage team for more information or to arrange a visit</p>
",,,,,,,,,,,,,,,,,,,,,,Notes on the excavation for sewer works at Lincoln,Manuscript,,,160,,,,Lincoln Heritage Database Sources,,,1888,,"Drury, M."
5e946c65-c714-43df-ac04-cbed99128cef,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,Catherine Swynfords Chantry,Leaflet,,,1877,,,,Lincoln Heritage Database Sources,,,,,"Harvey, J. H."
5ffd64b7-78a6-404d-9619-8388686f771b,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln Cathedral, south porch, vaulting",Drawing,,,2669,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
60e24e98-ecf6-4c2d-894d-7f9664b76d01,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, Bishops Palace. Vaulting",Drawing,,,2638,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
62f4a58e-497d-4bce-b86f-cb24ded646f9,,,,,,,,,,,,,,,,,,,,,,,City of Lincoln.  Proposed System of Sewerage and Sewerage Utilisation,Map,,,1520,,,,Lincoln Heritage Database Sources,,,1866,,"Tarbotton, M. O."
